pais,anio,poblacion_urbana_pct,usuarios_internet_pct
Argentina,2014,91.377,64.7
Argentina,2015,91.503,68.0431
Argentina,2016,91.627,70.969
Argentina,2017,91.749,74.2949
Argentina,2018,91.87,77.7
Argentina,2019,91.991,79.947
Argentina,2020,92.111,85.5144
Argentina,2021,92.229,87.1507
Argentina,2022,92.347,88.3754
Argentina,2023,92.463,89.229
