anio,pais,pib_per_capita_usd,usuarios_internet_pct
2014,Argentina,12233.144411918582,64.7
2015,Argentina,13679.626498095417,68.0431
2016,Argentina,12699.962313775635,70.969
2017,Argentina,14532.500930851062,74.2949
2018,Argentina,11752.799892297908,77.7
2019,Argentina,9955.974786804276,79.947
2020,Argentina,8535.59938004389,85.5144
2021,Argentina,10738.017922338438,87.1507
2022,Argentina,13935.681111004897,88.3754
2023,Argentina,14187.482725296491,89.229
