pais,anio,tasa_alfabetizacion_hombres,tasa_alfabetizacion_mujeres
Argentina,2014,..,..
Argentina,2015,..,..
Argentina,2016,..,..
Argentina,2017,..,..
Argentina,2018,..,..
Argentina,2019,..,..
Argentina,2020,..,..
Argentina,2021,..,..
Argentina,2022,..,..
Argentina,2023,..,..
