pais,anio,exportaciones_tic_pct
Argentina,2014,0.23
Argentina,2015,0.12
Argentina,2017,0.11
Argentina,2016,0.09
Argentina,2019,0.07
Argentina,2020,0.07
Argentina,2018,0.06
Argentina,2021,0.03
Argentina,2022,0.03
Argentina,2023,..
