pais,anio,indice_gini,usuarios_internet_pct
Argentina,2019,43.3,79.947
Argentina,2020,42.7,85.5144
Argentina,2021,42.4,87.1507
Argentina,2016,42.3,70.969
Argentina,2014,41.8,64.7
Argentina,2018,41.7,77.7
Argentina,2017,41.4,74.2949
Argentina,2022,40.7,88.3754
Argentina,2015,..,68.0431
Argentina,2023,..,89.229
